Subsystem;FlagDR;Name;Role;Module1;Module2;Module3;
Riboflavin HMP;0;ImpX;Predicted riboflavin transporter, EamA family;Vitamins, cofactors and micronutrients metabolism;Riboflavin metabolism;Riboflavin uptake;
Riboflavin HMP;0;RibX;Predicted riboflavin ABC transporter, transmembrane component;Vitamins, cofactors and micronutrients metabolism;Riboflavin metabolism;Riboflavin uptake;
Riboflavin HMP;0;RibY;Predicted riboflavin ABC transporter, substrate-binding component;Vitamins, cofactors and micronutrients metabolism;Riboflavin metabolism;Riboflavin uptake;
Riboflavin HMP;0;RibN;Riboflavin transporter RibN;Vitamins, cofactors and micronutrients metabolism;Riboflavin metabolism;Riboflavin uptake;
Riboflavin HMP;0;RfnT;Riboflavin transporter RfnT, MFS family;Vitamins, cofactors and micronutrients metabolism;Riboflavin metabolism;Riboflavin uptake;
Riboflavin HMP;0;RibF;Riboflavin kinase (EC 2.7.1.26);Vitamins, cofactors and micronutrients metabolism;Riboflavin metabolism;Riboflavin biosynthesis;
Riboflavin HMP;0;EcfA_B2;Duplicated ATPase component of energizing module of riboflavin ECF transporter;Vitamins, cofactors and micronutrients metabolism;Riboflavin metabolism;Riboflavin uptake;
Riboflavin HMP;0;EcfT_B2;Transmembrane component of energizing module of riboflavin ECF transporter;Vitamins, cofactors and micronutrients metabolism;Riboflavin metabolism;Riboflavin uptake;
NAD Niacin HMP;1;NadB;L-aspartate oxidase (EC 1.4.3.16);Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;NAD/NADP biosynthesis;
NAD Niacin HMP;1;NadB2;L-Aspartate dehydrogenase (EC 1.4.1.21);Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;NAD/NADP biosynthesis;
NAD Niacin HMP;1;NadA;Quinolinate synthetase (EC 2.5.1.72);Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;NAD/NADP biosynthesis;
NAD Niacin HMP;1;NadC;Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19);Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;NAD/NADP biosynthesis;
NAD Niacin HMP;1;NadD;Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18);Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;NAD/NADP biosynthesis;
NAD Niacin HMP;1;NadE;NAD synthetase (EC 6.3.1.5);Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;NAD/NADP biosynthesis;
NAD Niacin HMP;0;NadV;Nicotinamide phosphoribosyltransferase (EC 2.4.2.12);Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;NAD/NADP biosynthesis;
NAD Niacin HMP;0;NadM;Nicotinamide-nucleotide adenylyltransferase, NadM family (EC 2.7.7.1);Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;NAD/NADP biosynthesis;
NAD Niacin HMP;0;PncB1;Nicotinate phosphoribosyltransferase (EC 2.4.2.11);Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;NAD/NADP biosynthesis;
NAD Niacin HMP;0;PncB2;Nicotinate phosphoribosyltransferase (EC 6.3.4.21);Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;NAD/NADP biosynthesis;
NAD Niacin HMP;0;PncA;Nicotinamidase (EC 3.5.1.19);Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;NAD/NADP biosynthesis;
NAD Niacin HMP;0;NadR_AT;Nicotinamide-nucleotide adenylyltransferase, NadR family (EC 2.7.7.1);Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;NAD/NADP biosynthesis;
NAD Niacin HMP;0;NadR_RK;Ribosylnicotinamide kinase (EC 2.7.1.22);Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;NAD/NADP biosynthesis;
NAD Niacin HMP;0;NiaP;Niacin transporter NiaP;Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;Niacin or NAD precursor uptake;
NAD Niacin HMP;0;NiaX;Substrate-specific component NiaX of predicted niacin ECF transporter;Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;Niacin or NAD precursor uptake;
NAD Niacin HMP;0;PnuC;Ribosyl nicotinamide transporter, PnuC-like;Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;Niacin or NAD precursor uptake;
NAD Niacin HMP;0;NiaY;Predicted nicotinate-regulated transporter BH3254;Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;Niacin or NAD precursor uptake;
NAD Niacin HMP;0;NrtR;Nudix-related transcriptional regulator NrtR;Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;NAD/NADP biosynthesis;
NAD Niacin HMP;0;NiaR;Transcriptional repressor for NAD biosynthesis in gram-positives;Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;NAD/NADP biosynthesis;
NAD Niacin HMP;1;TDO;Tryptophan 2,3-dioxygenase (EC 1.13.11.11);Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;NAD/NADP biosynthesis;
NAD Niacin HMP;1;KFA_b;Kynurenine formamidase, bacterial (EC 3.5.1.9);Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;NAD/NADP biosynthesis;
NAD Niacin HMP;1;KMO;Kynurenine 3-monooxygenase (EC 1.14.13.9);Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;NAD/NADP biosynthesis;
NAD Niacin HMP;1;KYN;Kynureninase (EC 3.7.1.3);Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;NAD/NADP biosynthesis;
NAD Niacin HMP;1;HAD;3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6);Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;NAD/NADP biosynthesis;
NAD Niacin HMP;1;KFA_e;Kynurenine formamidase (EC 3.5.1.9);Vitamins, cofactors and micronutrients metabolism;NAD/NADP metabolism;NAD/NADP biosynthesis;
CoA Pantothenate HMP;1;PanD;Aspartate 1-decarboxylase (EC 4.1.1.11);Vitamins, cofactors and micronutrients metabolism;Coenzyme A metabolism;Coenzyme A biosynthesis;
CoA Pantothenate HMP;1;PanP;PLP-dependent aspartate 1-decarboxylase, PanP (EC 4.1.1.15);Vitamins, cofactors and micronutrients metabolism;Coenzyme A metabolism;Coenzyme A biosynthesis;
CoA Pantothenate HMP;1;PanB;3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11);Vitamins, cofactors and micronutrients metabolism;Coenzyme A metabolism;Coenzyme A biosynthesis;
CoA Pantothenate HMP;1;PanG;Ketopantoate reductase PanG (EC 1.1.1.169);Vitamins, cofactors and micronutrients metabolism;Coenzyme A metabolism;Coenzyme A biosynthesis;
CoA Pantothenate HMP;1;PanE;2-dehydropantoate 2-reductase (EC 1.1.1.169);Vitamins, cofactors and micronutrients metabolism;Coenzyme A metabolism;Coenzyme A biosynthesis;
CoA Pantothenate HMP;0;IlvC;Ketol-acid reductoisomerase (NADP(+)) (EC 1.1.1.86);Vitamins, cofactors and micronutrients metabolism;Coenzyme A metabolism;Coenzyme A biosynthesis;
CoA Pantothenate HMP;1;PanC;Pantoate--beta-alanine ligase (EC 6.3.2.1);Vitamins, cofactors and micronutrients metabolism;Coenzyme A metabolism;Coenzyme A biosynthesis;
CoA Pantothenate HMP;1;CoaA;Pantothenate kinase (EC 2.7.1.33);Vitamins, cofactors and micronutrients metabolism;Coenzyme A metabolism;Coenzyme A biosynthesis;
CoA Pantothenate HMP;1;CoaX;Pantothenate kinase type III, CoaX-like (EC 2.7.1.33);Vitamins, cofactors and micronutrients metabolism;Coenzyme A metabolism;Coenzyme A biosynthesis;
CoA Pantothenate HMP;1;CoaW;Pantothenate kinase type II, eukaryotic (EC 2.7.1.33);Vitamins, cofactors and micronutrients metabolism;Coenzyme A metabolism;Coenzyme A biosynthesis;
CoA Pantothenate HMP;1;CoaB;Phosphopantothenoylcysteine synthetase (EC 6.3.2.5);Vitamins, cofactors and micronutrients metabolism;Coenzyme A metabolism;Coenzyme A biosynthesis;
CoA Pantothenate HMP;1;CoaC;Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36);Vitamins, cofactors and micronutrients metabolism;Coenzyme A metabolism;Coenzyme A biosynthesis;
CoA Pantothenate HMP;1;CoaD;Phosphopantetheine adenylyltransferase (EC 2.7.7.3);Vitamins, cofactors and micronutrients metabolism;Coenzyme A metabolism;Coenzyme A biosynthesis;
CoA Pantothenate HMP;1;CoaE;Dephospho-CoA kinase (EC 2.7.1.24);Vitamins, cofactors and micronutrients metabolism;Coenzyme A metabolism;Coenzyme A biosynthesis;
CoA Pantothenate HMP;0;PanT;Substrate-specific component PanT of predicted pantothenate ECF transporter;Vitamins, cofactors and micronutrients metabolism;Coenzyme A metabolism;Pantothenate or precursor uptake;
CoA Pantothenate HMP;0;PanF;Pantothenate:Na+ symporter (TC 2.A.21.1.1);Vitamins, cofactors and micronutrients metabolism;Coenzyme A metabolism;Pantothenate or precursor uptake;
CoA Pantothenate HMP;0;PanS;Pantothenate precursors transporter PanS;Vitamins, cofactors and micronutrients metabolism;Coenzyme A metabolism;Pantothenate or precursor uptake;
Pyridoxin HMP;1;PdxS;Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing), synthase subunit (EC 4.3.3.6);Vitamins, cofactors and micronutrients metabolism;Vitamin B6 metabolism;Pyridoxine and pyridoxal phosphate biosynthesis;
Pyridoxin HMP;1;PdxT;Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing), glutaminase subunit (EC 4.3.3.6);Vitamins, cofactors and micronutrients metabolism;Vitamin B6 metabolism;Pyridoxine and pyridoxal phosphate biosynthesis;
Pyridoxin HMP;1;PdxA;4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262);Vitamins, cofactors and micronutrients metabolism;Vitamin B6 metabolism;Pyridoxine and pyridoxal phosphate biosynthesis;
Pyridoxin HMP;1;PdxJ;Pyridoxine 5'-phosphate synthase (EC 2.6.99.2);Vitamins, cofactors and micronutrients metabolism;Vitamin B6 metabolism;Pyridoxine and pyridoxal phosphate biosynthesis;
Pyridoxin HMP;0;PdxK;Pyridoxal kinase (EC 2.7.1.35);Vitamins, cofactors and micronutrients metabolism;Vitamin B6 metabolism;Pyridoxine and pyridoxal phosphate biosynthesis;
Pyridoxin HMP;0;PdxU1;Substrate-specific component PdxT of predicted pyridoxine ECF transporter;Vitamins, cofactors and micronutrients metabolism;Vitamin B6 metabolism;Pyridoxine and pyridoxal uptake;
Pyridoxin HMP;0;PdxU2;Substrate-specific component PdxU2 of predicted pyridoxin-related ECF transporter;Vitamins, cofactors and micronutrients metabolism;Vitamin B6 metabolism;Pyridoxine and pyridoxal uptake;
Pyridoxin HMP;0;PdxK2;Novel pyridoxal kinase, thiD family (EC 2.7.1.35);Vitamins, cofactors and micronutrients metabolism;Vitamin B6 metabolism;Pyridoxine and pyridoxal phosphate biosynthesis;
Pyridoxin HMP;0;PdxR;Predicted transcriptional regulator of pyridoxine metabolism;Vitamins, cofactors and micronutrients metabolism;Vitamin B6 metabolism;Pyridoxine and pyridoxal uptake;
Pyridoxin HMP;0;PdxU;Substrate-specific component PdxU of predicted pyridoxine ECF transporter;Vitamins, cofactors and micronutrients metabolism;Vitamin B6 metabolism;Pyridoxine and pyridoxal uptake;
Pyridoxin HMP;0;YdcO;Predicted pyridoxine transporter YdcO, BenE family;Vitamins, cofactors and micronutrients metabolism;Vitamin B6 metabolism;Pyridoxine and pyridoxal uptake;
Pyridoxin HMP;0;SutR;Transcriptional regulator for sulfur utilization SutR, Xre-family;Vitamins, cofactors and micronutrients metabolism;Vitamin B6 metabolism;Pyridoxine regulation;
Pyridoxin HMP;0;EcfT_B6;Transmembrane component of energizing module of predicted pyridoxine-related ECF transporter;Vitamins, cofactors and micronutrients metabolism;Vitamin B6 metabolism;Pyridoxine and pyridoxal uptake;
Pyridoxin HMP;0;EcfA_B6;Duplicated ATPase component of energizing module of predicted pyridoxine-related ECF transporter;Vitamins, cofactors and micronutrients metabolism;Vitamin B6 metabolism;Pyridoxine and pyridoxal uptake;
Biotin HMP;1;BioF;8-amino-7-oxononanoate synthase (EC 2.3.1.47);Vitamins, cofactors and micronutrients metabolism;Biotin metabolism;Biotin biosynthesis;
Biotin HMP;1;BioA;Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62);Vitamins, cofactors and micronutrients metabolism;Biotin metabolism;Biotin biosynthesis;
Biotin HMP;1;BioD;Dethiobiotin synthase BioD (EC 6.3.3.3);Vitamins, cofactors and micronutrients metabolism;Biotin metabolism;Biotin biosynthesis;
Biotin HMP;1;BioB;Biotin synthase (EC 2.8.1.6);Vitamins, cofactors and micronutrients metabolism;Biotin metabolism;Biotin biosynthesis;
Biotin HMP;1;BioC;Malonyl-[acyl-carrier protein] O-methyltransferase (EC 2.1.1.197);Vitamins, cofactors and micronutrients metabolism;Biotin metabolism;Biotin biosynthesis;
Biotin HMP;1;BioG;Pimeloyl-[acyl-carrier protein] methyl ester esterase BioG (EC 3.1.1.85);Vitamins, cofactors and micronutrients metabolism;Biotin metabolism;Biotin biosynthesis;
Biotin HMP;1;BioH;Pimeloyl-[acyl-carrier protein] methyl ester esterase BioH (EC 3.1.1.85);Vitamins, cofactors and micronutrients metabolism;Biotin metabolism;Biotin biosynthesis;
Biotin HMP;1;BioZ;Pimeloyl-[acyl-carrier protein] methyl ester esterase BioZ (EC 3.1.1.85);Vitamins, cofactors and micronutrients metabolism;Biotin metabolism;Biotin biosynthesis;
Biotin HMP;1;BioV;Pimeloyl-[acyl-carrier protein] methyl ester esterase BioV (EC 3.1.1.85);Vitamins, cofactors and micronutrients metabolism;Biotin metabolism;Biotin biosynthesis;
Biotin HMP;0;BioY;Substrate-specific component BioY of biotin ECF transporter;Vitamins, cofactors and micronutrients metabolism;Biotin metabolism;Biotin uptake;
Biotin HMP;0;BioN;Transmembrane component BioN of energizing module of biotin ECF transporter;Vitamins, cofactors and micronutrients metabolism;Biotin metabolism;Biotin uptake;
Biotin HMP;0;BioM;ATPase component BioM of energizing module of biotin ECF transporter;Vitamins, cofactors and micronutrients metabolism;Biotin metabolism;Biotin uptake;
Biotin HMP;0;BioW;Pimeloyl-CoA synthase (EC 6.2.1.14);Vitamins, cofactors and micronutrients metabolism;Biotin metabolism;Biotin biosynthesis;
Biotin HMP;0;YigM;Biotin transporter YigM, drug/metabolite transporter (DMT) superfamily;Vitamins, cofactors and micronutrients metabolism;Biotin metabolism;Biotin uptake;
Biotin HMP;0;BirA;Biotin--protein ligase (EC 6.3.4.9)(EC 6.3.4.10)(EC 6.3.4.11)(EC 6.3.4.15);Vitamins, cofactors and micronutrients metabolism;Biotin metabolism;Biotin biosynthesis;
Biotin HMP;0;BioU;Predicted biotin regulator in Bacteroides;Vitamins, cofactors and micronutrients metabolism;Biotin metabolism;Biotin biosynthesis;
Folate HMP;1;FolE1;GTP cyclohydrolase I (EC 3.5.4.16) type 1;Vitamins, cofactors and micronutrients metabolism;Folate metabolism;Folate biosynthesis;
Folate HMP;1;FolE2;GTP cyclohydrolase I (EC 3.5.4.16) type 2;Vitamins, cofactors and micronutrients metabolism;Folate metabolism;Folate biosynthesis;
Folate HMP;1;FolQ;Dihydroneopterin triphosphate pyrophosphohydolase;Vitamins, cofactors and micronutrients metabolism;Folate metabolism;Folate biosynthesis;
Folate HMP;1;FolQ2;Dihydroneopterin triphosphate pyrophosphohydrolase type 2;Vitamins, cofactors and micronutrients metabolism;Folate metabolism;Folate biosynthesis;
Folate HMP;1;FolQ3;Putative DHNTP pyrophosphatase;Vitamins, cofactors and micronutrients metabolism;Folate metabolism;Folate biosynthesis;
Folate HMP;1;FolB2;Folate biosynthesis protein PTPS-III, catalyzes a reaction that bypasses dihydroneopterin aldolase (FolB);Vitamins, cofactors and micronutrients metabolism;Folate metabolism;Folate biosynthesis;
Folate HMP;1;FolB;Dihydroneopterin aldolase (EC 4.1.2.25);Vitamins, cofactors and micronutrients metabolism;Folate metabolism;Folate biosynthesis;
Folate HMP;1;FolK;2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3);Vitamins, cofactors and micronutrients metabolism;Folate metabolism;Folate biosynthesis;
Folate HMP;1;FolP;Dihydropteroate synthase (EC 2.5.1.15);Vitamins, cofactors and micronutrients metabolism;Folate metabolism;Folate biosynthesis;
Folate HMP;1;FolA;Dihydrofolate reductase (EC 1.5.1.3);Vitamins, cofactors and micronutrients metabolism;Folate metabolism;Folate biosynthesis;
Folate HMP;1;FolM;FolM Alternative dihydrofolate reductase 1;Vitamins, cofactors and micronutrients metabolism;Folate metabolism;Folate biosynthesis;
Folate HMP;1;FolA2;Alternative dihydrofolate reductase 2;Vitamins, cofactors and micronutrients metabolism;Folate metabolism;Folate biosynthesis;
Folate HMP;1;FolA3;Alternative dihydrofolate reductase 3;Vitamins, cofactors and micronutrients metabolism;Folate metabolism;Folate biosynthesis;
Folate HMP;1;FolC;Dihydrofolate synthase (EC 6.3.2.12);Vitamins, cofactors and micronutrients metabolism;Folate metabolism;Folate biosynthesis;
Folate HMP;1;PabA;Para-aminobenzoate synthase, aminase component (EC 2.6.1.85);Vitamins, cofactors and micronutrients metabolism;Folate metabolism;Folate biosynthesis;
Folate HMP;1;PabB;Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85);Vitamins, cofactors and micronutrients metabolism;Folate metabolism;Folate biosynthesis;
Folate HMP;1;PabC;Aminodeoxychorismate lyase (EC 4.1.3.38);Vitamins, cofactors and micronutrients metabolism;Folate metabolism;Folate biosynthesis;
Folate HMP;0;FolT;Substrate-specific component FolT of folate ECF transporter;Vitamins, cofactors and micronutrients metabolism;Folate metabolism;Folate uptake;
Folate HMP;0;PabX;hypothetical protein linked to PabC;Vitamins, cofactors and micronutrients metabolism;Folate metabolism;Folate biosynthesis;
Folate HMP;0;FolC2;Alternative Folylglutamate Synthase;Vitamins, cofactors and micronutrients metabolism;Folate metabolism;Folate biosynthesis;
